,ID,Tweet
2017-12-04 20:25:02,937779800730677248,pope franci speak
2017-12-04 20:24:56,937779777901080576,pope franci run benedict xvi prophet moham show everyon voic
2017-12-04 20:23:52,937779508035198976,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 20:23:24,937779390724927495,never heard pope franci say atheist f
2017-12-04 20:22:05,937779059173363712,pope franci diplomat guidelin continu
2017-12-04 20:21:50,937778996032495617,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:21:20,937778872422199299,wait perfect answer vocat call pope franci said messag world day prayer vocat
2017-12-04 20:20:26,937778643786383360,w
2017-12-04 20:19:23,937778378450579457,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:19:10,937778326386741248,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:19:10,937778324549419008,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 20:18:58,937778276591747072,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:18:52,937778251581345792,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:18:34,937778174573805573,accept risen jesus life even u far away take small step toward await w open arm pope franci
2017-12-04 20:18:20,937778116247867393,pretti much clueless plato aristotl look forward read sent mayb
2017-12-04 20:18:09,937778068751638529,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:17:51,937777994554372096,pope franci warn peopl take care grandpar futur
2017-12-04 20:15:57,937777517783601152,pope franci outset eucharist becom centr pattern life church https
2017-12-04 20:15:33,937777413672570880,pope franci elev communion adulter authent magisterium
2017-12-04 20:15:17,937777346123386880,pope franci prayer intent decemb elder vatican radio
2017-12-04 20:14:59,937777272697782272,dear pope franci think could actual tweet republican pay
2017-12-04 20:14:32,937777159099371520,pope franci god call make excus via
2017-12-04 20:14:07,937777055982333952,confus explod pope franci throw magisteri weight behind communion adulter move rais https
2017-12-04 20:14:02,937777032167124993,wait perfect answer vocat call pope franci said messag world day prayer voca
2017-12-04 20:13:56,937777009433903104,dream pope franci amp stress ab mock forgot learn sermon amp let entir cat
2017-12-04 20:13:09,937776810653310976,pope franci act savior releas new york time profil
2017-12-04 20:12:52,937776739991814150,ad video playlist pope franci prayer intent decemb 2017
2017-12-04 20:12:40,937776691040178178,pope franci repoer papal plane reach ethic limit nuclear weapon v
2017-12-04 20:12:27,937776634270240768,papal flight last weekend pope franci said convinc opinion world limit licit
2017-12-04 20:12:01,937776524715024384,papal flight last weekend pope franci said convinc opinion world limit
2017-12-04 20:12:00,937776522915647488,papal flight last weekend pope franci said convinc opinion world limit
2017-12-04 20:11:59,937776516691255296,pope franci pray grandpar decemb via
2017-12-04 20:11:51,937776486064549888,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:11:04,937776288034586624,pope franci say therapi help clarifi thing earlier life proof need one
2017-12-04 20:10:52,937776235970691074,pope franci elev communion adulter authent magisterium
2017-12-04 20:10:16,937776083906084864,pope franci meet rohingya refuge wept
2017-12-04 20:10:11,937776064356642829,pope franci encourag faith histor trip burma trip get content https
2017-12-04 20:09:24,937775865517215750,pope franci meet rohingya refuge wept
2017-12-04 20:07:47,937775460611637248,pope franci god call make excus via
2017-12-04 20:07:40,937775432597848064,pope franci releas messag 2018 world day vocat
2017-12-04 20:06:19,937775093257789442,pope franci encourag faith histor trip burma trip get content
2017-12-04 20:06:07,937775042997424129,impoant pope franci gave author authent magisterium letter argentinian bishop
2017-12-04 20:05:31,937774890861584384,pope franci expedit 53 crew exchang thought human deepest oldest question space
2017-12-04 20:05:16,937774828702126080,technolog develop automat seen progress mankind unless result better l
2017-12-04 20:05:03,937774774360690689,pope franci pray grandpar decemb via
2017-12-04 20:04:23,937774605586051073,europ pope franci bangladesh reduc rohingya religion
2017-12-04 20:04:20,937774591283486720,wisdom self control need polic offic view mistrust seen almost enemi instead
2017-12-04 20:04:17,937774579325587456,pope franci prayer intent decemb elder vatican radio
2017-12-04 20:04:10,937774549248114689,power voic nuclear disarma pope becom
2017-12-04 20:03:48,937774459305582595,life journey stop thing go right pope franci life lifequot journey stayhappi
2017-12-04 20:03:43,937774435657957376,seem like pope franci final answer dubia whatev happen th near futur hope
2017-12-04 20:03:41,937774427500138496,pope formal establish argentina bishop teach communion divorc remarri cathol pa
2017-12-04 20:03:12,937774305215164416,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 20:02:35,937774152852824065,popefr visit first burmes jesuit priest
2017-12-04 20:02:32,937774140681007104,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:02:06,937774031796830208,donald trump meet pope franci smiley face frowni face photo
2017-12-04 20:02:02,937774014587695104,pope franci first jesuit pope shadi rome bbc latin america analyst eric camara
2017-12-04 20:02:02,937774012591104001,full text pope franci improvis comment priest religi bangladesh
2017-12-04 20:02:01,937774010926026753,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:01:46,937773945771773952,pope franci prayer intent decemb elder vatican radio
2017-12-04 20:01:08,937773785343840256,pope franci meet rohingya refuge wept
2017-12-04 20:01:00,937773753596985344,pope franci pray grandpar decemb via
2017-12-04 20:00:51,937773715726663681,confus explod pope franci throw magisteri weight behind communion adulter move rais
2017-12-04 20:00:15,937773564450635776,seek happi materi thing sure way unhappi pope franci
2017-12-04 19:58:49,937773203644190726,pope franci launch 2yr campaign increas empathi toward refuge amp migrant read stori
2017-12-04 19:58:43,937773179887550466,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 19:58:16,937773065991225345,pope franci name oratorian father mario albeo avilé pastor sacr hea church hidalgo auxiliar
2017-12-04 19:57:48,937772947619696640,never miss mass pope franci said better atheist bad christian vote roymoor
2017-12-04 19:57:06,937772774004854784,pope franci world govern must rule u good via jesuit
2017-12-04 19:56:11,937772543020113920,pope franci prayer intent decemb elder vatican radio
2017-12-04 19:56:08,937772529292365826,pope franci pray grandpar decemb via
2017-12-04 19:55:01,937772245811949569,pope franci god call make excus via
2017-12-04 19:54:03,937772003234275328,pope franci releas messag 2018 world day vocat vatican radio
2017-12-04 19:53:55,937771971768700928,pope franci world govern must rule u good via jesuit
2017-12-04 19:52:41,937771659502800897,fals pope sign arriv end time cathol church state christian blind follow th
2017-12-04 19:52:04,937771503374012416,pope franci world govern must rule u good via jesuit
2017-12-04 19:51:41,937771410264440832,youth read pope franci homili holi mass youth myanmar amp bangladesh superb
2017-12-04 19:51:24,937771339385004032,still need jesuit suppo mission jesuit work done
2017-12-04 19:50:59,937771231117479936,seen pope franci kiss feet muslim enter bowel
2017-12-04 19:50:11,937771033494478849,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 19:49:49,937770939554648065,pope franci elev communion adulter authent magisterium
2017-12-04 19:49:16,937770800983236612,pope franci repoer papal plane reach ethic limit nuclear weapon v
2017-12-04 19:49:01,937770737489899525,pope franci elev communion adulter authent magisterium
2017-12-04 19:48:57,937770719462780928,power voic nuclear disarma pope becom
2017-12-04 19:48:18,937770555754901504,pope franci pray grandpar decemb via
2017-12-04 19:45:50,937769936042283009,pope franci decemb prayer intent jazz band
2017-12-04 19:45:42,937769902051557376,never miss mass pope franci said better atheist bad christian vote roymoor
2017-12-04 19:45:41,937769900097064960,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 19:45:24,937769828315738112,never miss mass pope franci said better atheist bad christian vote roymoor
2017-12-04 19:45:24,937769826445152256,pope franci wrap asia tour meet rohingya
