,ID,Tweet
2017-12-04 17:06:16,937729781293912064,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:16,937729780249657344,presid power fire someon express view perform mean c
2017-12-04 17:06:16,937729779163385856,presid donald trump absolut crush question michaelflynn
2017-12-04 17:06:16,937729778710441985,one reput tatter donald j trump sayin
2017-12-04 17:06:15,937729776755888129,drop donald trump set come britain 26th 27th februari let make biggest demon
2017-12-04 17:06:15,937729776286085120,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:14,937729773983453185,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:14,937729773085831168,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:14,937729770867101696,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:13,937729769738768384,total slam mainstream media appar silenc issu watch donald trump favo
2017-12-04 17:06:13,937729766257545216,donald trump alway one embarrass thing unit
2017-12-04 17:06:12,937729765515051008,one reput tatter donald j trump sayin
2017-12-04 17:06:12,937729764265209861,thank u matt lauer earli christma gift amp thank charli rose garrison keillor harvey weinstein kevi
2017-12-04 17:06:12,937729762545623041,break news donald trump appoint god lawyer russia investig akin attack
2017-12-04 17:06:12,937729761849131008,trump lawyer send tweet trump ask comey let flynn investig go hillari email
2017-12-04 17:06:11,937729761551450112,opinion trump come uk even protest
2017-12-04 17:06:11,937729760872091649,attempt come straight adolf hitler playbook repeat lie often enough matter ridicul peopl
2017-12-04 17:06:11,937729760851120130,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:11,937729760821764097,ny daili news editori board presid unit state profound unstabl mad hone
2017-12-04 17:06:10,937729756614688768,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:10,937729756556128256,even disturb fact donald trump attack fbi fact fbi director appoint
2017-12-04 17:06:10,937729756228997121,wrote argument neustadt view trump correct weak potus danger fail presid htt
2017-12-04 17:06:10,937729753821442051,sexual predat donald trump call child molest roy moor offer full suppo alabama senat race
2017-12-04 17:06:10,937729753624317952,alan dershowitz repres jeffrey epstein amp
2017-12-04 17:06:09,937729750507950080,donald trump alway one embarrass thing unit state ever done retweet agre
2017-12-04 17:06:08,937729748658262017,offici republican pay pay roy moor donald trump realiz histori
2017-12-04 17:06:08,937729747131314176,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:08,937729745390899203,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:07,937729743843135489,said billi bush reiter donald trump access hollywood tape real
2017-12-04 17:06:07,937729743406985217,donald trump loud mouth run around threaten sue peopl say defend h
2017-12-04 17:06:07,937729743343906816,offici donald trump public endors child molest alabama gop senat candid roy moor twitter morn
2017-12-04 17:06:07,937729743033716736,retweet believ donald j trump greatest presid lifetim
2017-12-04 17:06:07,937729743021006849,presid power fire someon express view perform mean c
2017-12-04 17:06:07,937729742882705414,go take entir generat regain respect america donald trump becam presid
2017-12-04 17:06:07,937729742408704000,donald trump unequivoc 100 moral bankrupt baromet use make decis brui
2017-12-04 17:06:07,937729742031261696,3 billi bush yes donald trump said
2017-12-04 17:06:07,937729741121052672,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:06,937729740097642496,arrog ignor claim wrong anyth trump legal team serv
2017-12-04 17:06:06,937729738772279297,agre quit job woh sell soul
2017-12-04 17:06:06,937729738503852032,1 3 presid lawyer appar argu presid obstruct justic quit simpli wrong
2017-12-04 17:06:06,937729737958490112,retweet believ donald j trump greatest presid lifetim
2017-12-04 17:06:06,937729737874579457,donald trump get impeach need undo everyth done presid
2017-12-04 17:06:05,937729735949463553,billi bush new york time yes donald trump said grab em pussi donald trump tomorrow neve
